play_id,title,speaker,length,description,play_link
31607,A Stifling Silence,Masooma Ranalvi,06:06,Masooma Ranalvi decides to break her silence.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=31607
31618,First Love,Primah Kwagala,08:15,Primah Kwagala recounts the night her father brought home a second wife.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=31618
31620,Marigolds,Dia,05:04,Dia's mother surprises her in a moment of need.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=31620
31624,First Kiss,Eve Engel,05:15,Eve Engel hopes to get her first kiss.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=31624
31626,Down the Mountain,Briony Chappell,05:28,10-year-old Briony Chappell and her father search for each other after being separated on a ski trip.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=31626
31509,75 Pools,Cheech Marin,16:32,Cheech Marin tries to make sense of his new life in a new place.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=31509
31506,Raining Cats and Dogs,Prachi Mehta,06:08,Prachi Mehta is shocked by America's obsession with pets.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=31506
31502,Chicken Harvest,Marne Litfin,06:06,Marne Litfin finds that they have unexpected responsibilities while working at a Quaker camp.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=31502
31498,Cruise to Nowhere,Jason Kordelos,10:13,Jason Kordelos goes on a cruise to nowhere.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=31498
31372,Man Meets Dog,Jitesh Jaggi,06:37,Jitesh Jaggi has a long and storied history with canines.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=31372
31359,Love to Hate Cats,Katie Vaca,05:27,Katie Vaca does not care for cat love.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=31359
31349,"My Dog, My Hero",Linda Torres,05:29,Linda Torres is reunited with her dog after a tour in Afghanistan.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=31349
31344,On Thin Ice,Lisa Schuldt,05:45,Lisa Schuldt goes for a wintry walk with her dog.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=31344
31341,City Girl,Catherine Palmer,05:36,Catherine Palmer applies city girl solutions to country problems.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=31341
31336,The Accidental Cat,Patrick Cleary,04:28,"Patrick Cleary learns to be dangerous from a declawed, aging cat.",https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=31336
31251,Yemeni girl & the bike,Bushra Al-Fusail,12:30,Bushra Al-Fusail begins a Yemeni revolution on two wheels.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=31251
31248,My week in Paris with Diddy,Michael Specter,09:50,Serious journalist Michael Specter has a wild night in Paris with Puff Daddy.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=31248
31244,Don't Touch,Mercia Tapping,05:29,Mercia Tapping experiences a clash between her British upbringing and US food culture.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=31244
31205,Moth Pop Up Porch Intro,The Moth,00:45,,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=31205
31157,Lust,Erica Jong,11:27,Erica Jong gets a meat and fish delivery from an ex.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=31157
31154,Gluttony,Zeroboy,04:50,Zeroboy explores gluttony in audio.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=31154
31123,"How To Move in the Games of Life, Lessons from My Dad.",Antoinette-Marie Williams,09:44,Antoinette-Marie Williams inherits her family's love of games and shows up on the world stage.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=31123
31118,Quakish,Eddy Laughter,08:07,Eddy Laughter discovers parts of her identity in an unlikely location.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=31118
31113,The Scare-Dee-Cats,Michael Donovan,07:29,"Michael Donovan runs into a ""small"" problem on the job.",https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=31113
31105,"Mischief, Murder, and Macaulay Culkin",Rachel Cain,05:38,Rachel Cain worries she may have taken things too far.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=31105
31091,Pulling Back The Turban,Harjas Singh,12:00,Harjas Singh seeks the answer to a haunting question.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=31091
30964,The Cocotazo,Jeni De La O,05:08,Jeni De La O remembers her grandmother.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=30964
30959,Shifting Gears,Grace Topinka,05:30,Grace Topinka tries to learn stick shift.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=30959
30925,Make Noise,EJR David,11:59,EJR David breaks a decades long silence.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=30925
30919,Score One for St. Rose of Lima,Mary Coomer,05:29,Mary Furlong Coomer prepares for her first communion.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=30919
30912,Karen the Invincible,Karen Kibaara,12:38,Karen Kibaara learns the meaning of invincible.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=30912
30827,Badass Lessons,Nimisha Ladva,13:49,Nimisha Ladva appreciates her father's calm command in troubling times.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=30827
30806,Mystery Goop,Gabriel Wood Lamanuzzi,06:00,Gabriel Woods Lamanuzzi tries to wrangle a room of 2nd graders.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=30806
30801,The Long Way Home,Tod Kelly,07:50,Tod Kelly gets carried away and confronts a bad driver.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=30801
30795,Dragon Wings,Dame Wilburn,14:00,Dame Wilburn fakes her college graduation to avoid her mother's wrath.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=30795
30664,My Beef with Little Orphan Annie,Jennifer Lubin,05:38,Jennifer Lubin competes for her mother's affection with an unlikely foe.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=30664
30672,Breaking News,Anne Stuart,05:40,Anne Stuart spends her summer break delivering the news as the switchboard operator at her local paper.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=30672
30681,The Night I Hit a Baseball,Stephen Ferrell,06:14,"After hitting a baseball for the first time, 10 year old Stephen Ferrell hopes for another miracle.",https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=30681
30688,Number 38 to 3,Esther Ngumbi,10:15,Esther Ngumbi's mother catches her in a lie.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=30688
30569,Acceptance Online,Donald Harrison,06:07,Donald finds acceptance in an AOL chatroom.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=30569
30523,Deal,Denise Bledsoe Slaughter,05:11,Denise Bledsoe Slaughter gets a second mother when she needs it most.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=30523
30516,Lotus,Pauline Nguyen,15:30,Pauline Nguyen reconciles with a harbinger of fear.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=30516
30513,The Blesser,Louise Newton-Keogh,07:01,Louise Newton-Keogh learns an important lesson about controlling the universe.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=30513
30508,Gaiety Male Burlesque,Christopher Brune-Horan,06:43,Christopher Brune-Horan finds sanctuary in an unlikely location.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=30508
30500,Shared Thoughts,Eddy Laughter,06:34,Eddy Laughter sees her future at her first concert.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=30500
30443,Parachuting,Dorothy Storck,28:33,Dorothy falls from a great height.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=30443
30250,An Office Job,Neil Gaiman,06:13,Neil Gaiman works for a men's magazine.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=30250
30189,Daddy Hurricane,Kim Sykes,07:43,Kim Sykes recalls growing up in New Orleans with a complicated father.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=30189
30183,How Not to Feel Crazy,Tricia Rose Burt,06:41,"While going through a divorce, Tricia Rose Burt finds comfort in her art.",https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=30183
30177,Return to Trust,Hannah Brennan,12:25,Hannah Brennan learns there is wisdom in her body.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=30177
30170,Cast Them Out,Marlon James,13:00,Marlon James discovers his talent as a junior exorcist.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=30170
30073,Kalimera,Catherine Brophy,05:59,Catherine Brophy finds solace on a vacation in Greece.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=30073
30071,Feeling Positive,Charlotte Mooney,06:21,Charlotte Mooney debates when to tell her partner about a positive pregnancy test.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=30071
29969,No Matter What,Burnell Cotlon,12:56,Burnell Cotlon returns to the Lower Ninth Ward after Hurricane Katrina to rebuild the community he loves.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=29969
29965,The Recital,Diane Harari,05:45,Diane Harari learns that piano recitals are child's play.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=29965
29959,A Decent Proposal,Jen Rubin,06:31,Jen Rubin plans to be spontaneous.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=29959
29949,Head First and Harvard Bound,Matty Struski,00:00,Matty Struski learns about resiliency and slides.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=29949
29942,From Hungary with Love,Dan Souza,06:57,Dan Souza teaches English and learns about Hungarian karaoke,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=29942
15487,The Tourist and the Refugee,Abraham Leno,10:37,Abraham Leno's dream of college is threatened when war breaks out in his country.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=15487
29833,A Close Encounter,Kathryn Bendall,08:19,Kathryn is thrust upon an important stage.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=29833
29809,The Alpha Wolf,Elizabeth Gilbert,16:35,Writer Elizabeth Gilbert shares her struggle in dealing with her partner’s terminal illness and what it taught her about living.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=29809
29804,Lemon Drop Martini,Sharon D'orsie,06:19,Sharon D'Orsie goes on adventures with her aging mother.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=29804
29796,A Fine Chaplain...Someday!,Adrienne Lotson,16:06,Adrienne Lotson worries she's not cut out to be a chaplain.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=29796
29735,A 100 Footer,Alex Campbell,06:53,Alex grapples with Ireland’s marriage referendum.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=29735
29730,The Missing Ingredient,Kimberly Gotches,05:57,Kimberly learns about her grandmother’s special rice pudding recipe.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=29730
29705,A Good Car,Charlotte Mooney,06:16,Charlotte Mooney helps a man wandering on the highway.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=29705
29703,Searching for my Grandmother,Ishmael Beah,13:58,Ishmael Beah is separated from his beloved grandmother during the war in Sierra Leone.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=29703
29700,Navajo Star Wars,Manuelito Wheeler,12:52,Manuelito Wheeler wants to help preserve the Navajo language by dubbing Star Wars.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=29700
29694,Paint it Black,Rose Saia,07:02,Rose Saia feels understood by her new 4th-grade teacher.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=29694
29630,Undaunted Planet,Phyllis Omido,08:27,An activist works to try and stop a smelting plant from poisoning an entire community.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=29630
29621,"My Mother, the Nun, and Me",Lyralen Kaye,06:59,"Lyralen Kaye comes to terms with their sexuality, while realizing that their mother might be in love with a nun.",https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=29621
29610,El Conquistador,Shaun Leonardo,13:25,Shaun Leonardo pursues his dream of becoming a luchador.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=29610
29606,The Hardest Climb,Beth Bradley,06:36,Beth Bradley inches toward a breaking point near the end of a 14k hike up a mountain in Colorado.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=29606
29600,High Above Ground,Mike Maloch,06:27,Mike Maloch has to face his fears on the job.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=29600
29597,Collide,Samira Sahebi,06:12,Samira Sahebi has an unexpected visit to the ER.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=29597
29586,The Death of Nano-Puppy,Sara Jonnson,06:23,8-year-old Sara Jonsson realizes her new toy is more responsibility than she bargained for.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=29586
29499,Greenwood Surrounds,Edgar Oliver,02:33,Edgar Oliver sets the mood in Greenwood Cemetery.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=29499
29449,Cool Lefty Muslim,Ayisha Irfan,07:25,"Ayisha Irfan finds herself in the awkward role of the ""office Muslim.""",https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=29449
29443,The Greatest Job in New York,Frank O'Keefe,12:34,Frank O'Keefe takes us inside the world of the New York City Sanitation Department.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=29443
29435,Love in Transition,Julia Bucci,06:16,Julia Bucci can't use her usual academic approach when confronted with a matter of the heart.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=29435
29429,A Great Night In Harlem,Maxie Jones,12:56,"On the night of Obama's election, Maxie Jones witnesses change on the streets of Harlem.",https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=29429
29365,Lost in Their Eyes,Devan Sandiford,05:12,Devan Sandiford starts to accept that he is beautiful regardless of what people say about his skin color.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=29365
29328,Knock Offs,Edgar Ruiz Jr,10:35,Edgar Ruiz Jr. needs new sneakers while visiting his father in Puerto Rico.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=29328
29323,Shoeless in the City,Isabelle Raphael,04:45,Isabelle Raphael finds herself in a pinch when she drops her keys down the elevator shaft.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=29323
29317,Chinatown Sneakerhead,Munjen Ng,06:58,Munjen Ng and his classmate pursue careers in design.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=29317
29305,Shoestring Budget,Satori Shakoor,10:44,Satori Shakoor dresses up for a job interview but doesn't really want the job.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=29305
29301,Snow Day,Stacey Miller,03:27,Stacy Miller's new daughter needs new shoes.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=29301
29296,American Shoes and Jesus,Sufian Zhemukhov,05:33,Sufian Zhemukhov is pulled into a discussion on religion while shoe shopping.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=29296
29258,The Mime of My Life,Janet Clarke,05:31,A mime tries to make the most of her gig at a minor-league baseball game.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=29258
29246,Minor League Mime,Cathy Gasiorowicz,06:14,Mimes? At a baseball game! It’s a recipe for disaster.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=29246
29081,Grandpa Bernie’s Clock,Aaron Wolfe,06:21,New Yorker Aaron Wolfe's wife gets a job in Boston.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=29081
29078,That Magic Feeling,Gregory Pereira,10:58,Gregory Pereira finds family in an unexpected place.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=29078
29071,Second Chances,Ross Jessop,14:12,Ross Jessop searches Montana's Lolo National Forest for a missing baby.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=29071
29054,The Real Me,Christine Gentry,04:38,Christine Gentry hides hides a secret from significant others.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=29054
29050,AJ's Book,Joseph Gallo,05:45,Joseph Gallo receives a gift from a dying friend.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=29050
29023,PromNightMare,Tia Valeria,05:59,"Tia Valeria Gurtner goes to their high school prom, and finds their mother there too.",https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=29023
29028,Recognizing My Judaism as a Quakish Kid,Eddy Laughter,08:15,Eddy Laughter connects with their Jewish faith.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=29028
28990,Coming of Age,Swapna Kakani,13:44,"After her sari ceremony and debutante ball, Swapna Kakani realizes what coming of age really means.",https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=28990
28987,"Swing, Lo!",Zellia Enjoli Tatiana,04:56,"Zellia Enjoli Tatiana's role of ""older sister"" gets put to the test.",https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=28987
28983,Can't We Talk About Something More Pleasant?,Roz Chast,11:41,Roz Chast isn't sure where to lay her parents to rest.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=28983
28978,Another Saturday Night at the Clam King,Adam Wade,12:11,Adam Wade is an awkward teen who spends every weekend with his adoring grandma and her sister.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=28978
28938,Hello Kitty! Please Love Me,Sarah Bunger,06:01,Sarah Bunger goes to catastrophic lengths to make sure her pet loves them more than her partner.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=28938
28894,Counting Down the Tides,Hannah Morris,09:27,Archeologist Hannah Morris races to complete her work before the effects of climate change destroy the site. This story was produced in collaboration with the World Science Festival.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=28894
28890,Even This I Got To Experience,Norman Lear,12:34,Norman Lear learns the impact of a seemingly small decision years later.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=28890
28884,I Walked Back,Nimisha Ladva,06:23,Nimisha Ladva meets a fellow professor who makes her question her beliefs.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=28884
28879,Where Tomorrow Never Comes,Dylon Killian,06:07,Dylon Killian witnesses a spirited debate on public transit.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=28879
28872,Buster,Scott Gravatt,07:07,"Scott Gravatt and his family become attached to their new car, Buster.",https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=28872
28852,The Vampire Rabbit,Zaena Tessema,04:13,Zaena Tessema's mother invokes a mysterious figure to control her children.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=28852
28848,A Tiny Victory,Natalie Arroyo,04:59,Natalie Arroyo finds herself in a showdown on the NYC subway.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=28848
28846,Between Worlds,Mariya Dostzadah Goodbrake,11:00,Mariya Goodbrake discovers common ground between the two communities she loves.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=28846
28844,When Your Dream Is My Nightmare,Sonny Garg,05:55,Sonny Garg finds it difficult to live his father's dreams.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=28844
28836,Homeroom Heartbreak,Aydrea Walden,05:17,Aydrea Walden realizes her classmates see her differently.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=28836
28834,Tombstone Checkpoint,Enrique Garcia Naranjo,08:00,Enrique García Naranjo is stopped by border patrol.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=28834
28832,"Tired, from New York",Jessi Klein,18:15,Jessi Klein lands what she thinks is her dream job.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=28832
28830,Into the Light,Kimberly Rose,04:03,Kimberly Rose sees herself disappearing in her marriage.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=28830
28820,The Yellow Dress,Beverley Elliott,06:15,"Beverley Elliott writes a song about a yellow dress, despite not owning one.",https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=28820
28818,The Softest Touch,Camille Woods,06:12,Camille Woods seeks a small bit of comfort after the death of her son.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=28818
28809,Learning to Say I Love You,Louise Newton-Keogh,07:04,"Louise Newton-Keogh learns and re-learns the meaning of ""I love you"" from her mother.",https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=28809
28804,Back Up Your S***!,Andrew Solmssen,05:35,Self-professed nerd Andrew Solmssen meets his match.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=28804
28802,Marion and Me,Caitlin Fitzgerald,12:36,Caitlin FitzGerald discovers her new home has a terrible past.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=28802
28798,The Artful Dodger,Cheech Marin,16:52,Cheech Marin finds his calling after dodging the draft.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=28798
28796,The Dream Recording Machine,Moran Cerf,11:50,A series of missed calls get scientist Moran Cerf in hot water.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=28796
28781,Moral Redemption,Christopher Scott,17:22,Christopher Scott's life is changed forever when he answers a friend’s call for help.,https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=28781
28777,Last Trip To The Beach,Chris Gorman,05:27,"Chris Gorman adopts a dog that's been marked ""unwanted.""",https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=28777
28774,Busted at Jesus Camp,Alyssa Ladd,05:49,"Alyssa Ladd attempts to be the ""best Christian"" at her Evangelical summer camp.",https://player.themoth.org/#/?actionType=ADD_AND_PLAY&storyId=28774
